date,APMC,CommodityId,min_price,max_price,modal_price,arrivals_in_qtl
2015-08-01,Bhusaval,3,1147,1197,1162,95
2016-08-01,Bhusaval,3,1396,1404,1396,40
2014-12-01,Bhusaval,3,1274,1325,1306,685
2015-12-01,Bhusaval,3,1299,1364,1338,592
2015-02-01,Bhusaval,3,1282,1328,1302,122
2016-02-01,Bhusaval,3,1255,1312,1280,181
2015-01-01,Bhusaval,3,1360,1421,1382,1119
2016-01-01,Bhusaval,3,1240,1295,1268,365
2015-07-01,Bhusaval,3,1072,1093,1093,70
2016-07-01,Bhusaval,3,1471,1507,1479,45
2015-06-01,Bhusaval,3,1083,1126,1107,118
2016-06-01,Bhusaval,3,1307,1329,1313,85
2015-03-01,Bhusaval,3,1234,1293,1249,177
2016-03-01,Bhusaval,3,1377,1434,1409,211
2015-05-01,Bhusaval,3,1128,1181,1149,97
2016-05-01,Bhusaval,3,1332,1347,1332,94
2014-11-01,Bhusaval,3,1213,1385,1332,1036
2015-11-01,Bhusaval,3,1225,1330,1297,722
2014-10-01,Bhusaval,3,1036,1101,1057,129
2015-10-01,Bhusaval,3,1153,1261,1213,1989
2016-10-01,Bhusaval,3,1203,1264,1235,881
2014-09-01,Bhusaval,3,1088,1148,1127,103
2015-09-01,Bhusaval,3,1198,1262,1231,110
2016-09-01,Bhusaval,3,1413,1451,1430,117
2016-11-01,Bhusaval,3,1105,1231,1137,1041
2015-04-01,Jalgaon,3,1212,1263,1242,4609
2016-04-01,Jalgaon,3,1720,1956,1821,3979
2015-08-01,Jalgaon,3,1262,1307,1292,1185
2016-08-01,Jalgaon,3,1672,1730,1707,455
2014-12-01,Jalgaon,3,1312,1401,1387,1948
2015-12-01,Jalgaon,3,1355,1407,1400,1254
2015-02-01,Jalgaon,3,1352,1382,1379,696
2016-02-01,Jalgaon,3,1564,2135,1677,6132
2015-01-01,Jalgaon,3,1416,1537,1483,1016
2016-01-01,Jalgaon,3,1350,1388,1354,509
2015-07-01,Jalgaon,3,1251,1316,1282,1678
2016-07-01,Jalgaon,3,1821,1910,1896,266
2015-06-01,Jalgaon,3,1189,1313,1235,2728
2016-06-01,Jalgaon,3,1803,1882,1847,878
2015-03-01,Jalgaon,3,1346,1461,1416,2801
2016-03-01,Jalgaon,3,1641,1997,1812,7102
2015-05-01,Jalgaon,3,1164,1211,1181,4591
2016-05-01,Jalgaon,3,1758,1964,1841,3257
2014-11-01,Jalgaon,3,1368,1519,1446,5794
2015-11-01,Jalgaon,3,1330,1429,1367,2287
2014-10-01,Jalgaon,3,1281,1411,1345,1467
2015-10-01,Jalgaon,3,1236,1311,1276,2377
2016-10-01,Jalgaon,3,1572,1783,1658,1869
2014-09-01,Jalgaon,3,1504,1592,1548,972
2015-09-01,Jalgaon,3,1342,1421,1369,1550
2016-09-01,Jalgaon,3,1662,1726,1701,702
2016-11-01,Jalgaon,3,1692,2005,1879,5434
2015-04-01,Mohol,3,1568,2109,1911,295
2016-04-01,Mohol,3,1744,2482,2186,469
2015-08-01,Mohol,3,1730,1930,1836,118
2016-08-01,Mohol,3,1685,2026,1888,439
2014-12-01,Mohol,3,1546,2112,1885,164
2015-12-01,Mohol,3,1650,2564,2186,113
2015-02-01,Mohol,3,1564,2041,1836,245
2016-02-01,Mohol,3,1665,2139,1970,505
2015-01-01,Mohol,3,1565,2553,2254,184
2016-01-01,Mohol,3,1745,2278,2077,193
2016-07-01,Mohol,3,1650,2052,1924,154
2015-06-01,Mohol,3,1581,1930,1781,394
2016-06-01,Mohol,3,1725,2152,2016,373
2015-03-01,Mohol,3,1643,1988,1811,188
2016-03-01,Mohol,3,1650,2342,2029,256
2015-05-01,Mohol,3,1568,1941,1758,232
2016-05-01,Mohol,3,1716,2395,2154,408
